,specialname,playcount,collectcount,publishtime,username
75,粤语经典电台丨点一首歌送给爸妈,7372826,3231,2021-09-08,天使的眼泪
76,经典粤曲｜青春已逝，芳华依旧,2208622,1251,2021-09-08,烨＆锦麟ι
77,【每周臻享】Beyond经典HiFi曲目,259312,468,2021-09-03,日照影山
78,宝丽金黄金时代精品典藏,724849,1302,2021-09-03,日照影山
79,【华纳天碟 · 真经典】HiFi品质收藏,334133,502,2021-09-03,日照影山
80,华纳白金经典全套 | 精选HiFi人声,327122,543,2021-09-03,日照影山
81,『情歌时光机』让你瞬间重返80年代,5441526,2552,2021-09-02,卧马横刀
82,「经典老歌」光阴疾似箭，不敢度韶华,4442662,2628,2021-09-02,朝露昙花
83,深情粤语｜似水流年，天老歌不老,2630271,1189,2021-09-02,恋恋天使心
84,漫长岁月成就经典老歌 | 英文篇,643050,742,2021-09-01,梦颜Amor°
85,英语经典：永不遗忘的青春颂歌,342768,575,2021-09-01,害怕女人
86,新年歌曲300首 | 春风送暖，纵情欢笑,3424229,1657,2021-09-01,摯戀強
87,老歌经典丨欢迎登坐音乐时光机,4104342,1493,2021-08-30,梁夏
88,国语经典 | 回忆的共鸣经典永流传,1515677,523,2021-08-30,上帝爱洗澡
89,港风影视｜老歌唱不停，剧情不落幕,2619894,1656,2021-08-30,Wede
90,国语岁月：时间逝去，经典永在,1745501,665,2021-08-30,黑夜飓风
91,欧美老歌•记忆里的纯粹岁月,319542,402,2021-08-30,冷晓寒
92,欧美老歌｜极具辨识度的情怀节奏,193601,286,2021-08-30,千年等待
93,粤语纪念册｜再望光辉岁月，重听旧日风华,711208,374,2021-08-29,太空收音机
94,欧美怀旧录｜将岁月以歌，赐青春燃情,5567617,2320,2021-08-29,太空收音机
95,先听歌后看戏丨高口碑的经典港片,149671,87,2021-08-27,妖精九九
96,【四大名著】音乐宝典影视瑰宝,470104,600,2021-08-27,爱上秋天
97,「国语经典」回忆伴着旋律涌上心头,4604505,1674,2021-08-27,509004962
98,国语金曲•爱我所爱无怨无悔,3267702,1187,2021-08-27,冰凌可儿
99,粤语经典：繁星流动，和你同路,7023773,3191,2021-08-27,依旧ˇ倾心
100,沉醉粤语金曲：怪我过分着迷,3759438,1164,2021-08-27,断梦残云
101,321音乐频道「精彩音乐汇」,885991,765,2021-08-26,509004302
102,车载粤语｜搭载老歌，开启时光之旅,1466127,1058,2021-08-26,好歌推荐
103,粤语回忆录｜模糊的记忆里，唱起岁月之声,398116,210,2021-08-26,热歌淘金器
